textID,selected_text,processed_text,sentiment,sentiment_label
f87dea47db,Last session of the day  http://twitpic.com/67ezh,last session day http,0.0,neutral
96d74cb729,exciting,exciting,0.3,positive
eee518ae67,Recession,recession,0.0,neutral
01082688c6, happy bday!,happy bday,1.0,positive
33987a8ee5,I like it!!,like,0.0,neutral
726e501993,visitors!,visitor,0.0,neutral
261932614e,HATES,hate,0.0,neutral
afa11da83f,blocked,blocked,0.0,neutral
e64208b4ef, and within a short time of the last clue all of them,within short time last clue,0.0,neutral
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,get day alright done anything yet leaving soon stepsister though,0.0,neutral
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,bike put hold known argh total bummer,0.0,neutral
43b390b336, I checked.  We didn`t win,checked win,0.8,positive
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,twitter tavern bore much,0.2,positive
5c1e0b61a1,"sad,",sad,-0.5,negative
504e45d9d9,I feel like my phones hole is not a virgin. That`s how loose it is... :`(,feel like phone hole virgin loose,-0.07692307692307693,neutral
ae93ad52a0,hate,hate,-0.8,negative
9fce30159a, Miss you,miss,0.0,neutral
00d5195223,Cramps . . .,cramp,0.0,neutral
33f19050cf,nice,nice,0.6,positive
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",going spiritual stagnentation exploding ego realise great ok,0.43333333333333335,positive
9ef44428d0,Stupid storm.,stupid storm,-0.7999999999999999,negative
be634ebeb0,My dead grandpa pays more attention to me than you do,dead grandpa pay attention,0.15,positive
3dcf4f7e13,bad.,bad,-0.6999999999999998,negative
f0ef04109b,about to go to sleep,go sleep,0.0,neutral
8be365118e,lame,lame,-0.5,negative
c50bdd4567,thats so cool,thats cool,0.35,positive
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",hey people dont hate grounded haha im sat eating apple watching death note anime,-0.30000000000000004,negative
b783916431,"Huh, another ScarePoint coding Sunday",huh another scarepoint coding sunday,0.0,neutral
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,look found http,0.0,neutral
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",ac fan doesnt swing way sweating hot humid day,0.25,positive
95701e8ed9, guess that depends on if you want to be on the jury,guess depends want jury,0.0,neutral
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,resorted eating mickey d alone,0.0,neutral
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",faux gothy chick looking sorry going camden like jimmy eat world,-0.5,negative
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,ask twitter id sun sign,0.0,neutral
9b1a52cc02, where`d you go!,go,0.0,neutral
cce5c4744a,good film,good film,0.7,positive
c7f9d559e2,Happy mothers day mumm,happy mother day mumm,0.8,positive
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,really need put laptop start getting ready shindig missed twitterloves day,0.08148148148148149,neutral
6d846d7d50,sorry,sorry,-0.5,negative
599f51af6b,feels sorry,feel sorry,-0.5,negative
87daa62920,u tweet too much,u tweet much,0.2,positive
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,always forget something travel newark airport,0.0,neutral
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,left car walked home might need someone rescue petrol light flashing,0.2,positive
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,updating brett phone beep really looking wedding stuff next five month,0.06666666666666667,neutral
d3d7b13278,"happy,",happy,0.8,positive
ddc07db84e,Hope ur havin fun,hope ur havin fun,0.3,positive
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,miss old phone worked good dropped want new one birthday,0.3121212121212121,positive
17d18ba9ef,wonderful,wonderful,1.0,positive
ab57d75f20,im really,im really,0.2,positive
f0acd25d8e,Not happy,happy,-0.4,negative
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,watching acoustic performance mood good episode miss show,0.875,positive
d6c34fa875, I`ll oscillate from one to the other.,oscillate one,-0.125,negative
614aed9113,I`m so very tired...and have insomnia.,tired insomnia,0.2,positive
dfa577d3c1, Thanks Ennio,thanks ennio,0.2,positive
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,totally come get bring kelslaws house,0.0,neutral
a0bfb12773," You seem nice, you`re generous and you know your stuff",seem nice generous know stuff,0.6,positive
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,u dirrrrrty oh pick hawk figured needed longshot better bet car,0.5,positive
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,almost got kitty yesterday work,0.0,neutral
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",reality need check school time party tonight tho im going bed night night,0.0,neutral
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,caladesi definitely nice peaceful way spend sunday got lil tan,0.4953125,positive
e591a725ef, i still dont know what we would do though,still dont know would though,0.0,neutral
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",dang certain okay,0.19642857142857142,positive
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,change plan staying brandon papaya salad,0.0,neutral
7d87899024,suck.,suck,0.0,neutral
461b51fa58,at starbucks with my love. eff school. i have work later too.,starbucks love eff school work later,0.25,positive
c31d79c440,cried,cried,0.0,neutral
32ee7ef6c2,looking forward to an exciting bank holiday around the diy shops...,looking forward exciting bank holiday around diy shop,0.3,positive
29f805a7d2,Terminator Salvation... by myself.,terminator salvation,0.0,neutral
d41fe360e4,loss.,loss,0.0,neutral
a04c8c8695, Why do I have to enter my registration details every time I update?,enter registration detail every time update,0.0,neutral
25e42b2bf2,i love you,love,0.5,positive
5843d17b1d,cute..,cute,0.5,positive
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,tgif right think broke toe last night bad foot,-0.3499999999999999,negative
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",oherr soon plan party saturday x,0.0,neutral
972dc5787d,yr very young looking dude,yr young looking dude,0.13,positive
0ba6aaf9aa,ignore,ignore,0.0,neutral
7a81537034,**** you AT&T!,,0.0,neutral
311d2b185b,Berwick breaks my achy breaky heart,berwick break achy breaky heart,0.0,neutral
1e46d72ec6,wish,wish,0.0,neutral
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,im lady lady move couch direct couch go,0.1,neutral
58129e4130,Yay,yay,0.0,neutral
e6c9e5e3ab, 26th February,26th february,0.0,neutral
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,guess mom adopted kitty today 11 month name corky,0.0,neutral
a14b4ff440,Happy,happy,0.8,positive
5d57a5eda2,Thank you!,thank,0.0,neutral
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,lol man got 2 1 hr iont woulda made wit ramen noodle time,0.8,positive
c2ea5cb58b,Not feeling all that well today,feeling well today,0.0,neutral
cde0016d6d,"hurts,",hurt,0.0,neutral
5fc411e8d1,_berland LMAO I know I know,lmao know know,0.6,positive
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,gnight shar vega,0.0,neutral
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,underwire bra sticking poking armpit,0.0,neutral
3a98aa4762,Happy,happy,0.8,positive
886545bbab,"Yes, I am",yes,0.0,neutral
2afe118dc3, I can`t call Mitch!  Im from sweden!,call mitch im sweden,0.0,neutral
704c53f4cf,Happy star wars day! May the fourth be with you,happy star war day may fourth,0.5,positive
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,excited eat wartermelon bought day terrible sweet,-0.23125,negative
c238c4dbb7,hard!,hard,-0.36458333333333337,negative
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,take antibacterial school clean hand cant go loo,0.3666666666666667,positive
